24.78,0.00,0
24.78,0.00,0
24.78,0.00,0
24.78,0.00,0
24.78,0.00,0
24.78,0.00,0
24.78,0.00,0
24.78,0.00,0
24.78,0.00,0
24.78,0.00,0
24.78,0.00,0
24.78,98.00,0
24.78,98.00,1
24.78,98.00,0
45.80,98.00,0
45.80,98.00,0
45.80,98.00,0
45.80,98.00,0
45.80,98.00,1
45.80,98.00,1
45.80,98.00,1
45.80,98.00,1
16.96,97.00,0
16.96,97.00,0
16.96,97.00,0
16.96,97.00,1
16.96,97.00,1
16.96,97.00,1
-11.88,98.00,0
27.22,98.00,0
27.22,96.00,0
27.22,96.00,1
27.22,96.00,0
27.22,96.00,1
27.22,97.00,0
27.22,97.00,0
27.22,97.00,0
27.22,97.00,0
49.22,97.00,0
49.22,98.00,0
49.22,98.00,1
49.22,98.00,1
49.22,98.00,1
49.22,98.00,1
49.22,98.00,1
16.96,97.00,0
16.96,97.00,0
16.96,97.00,0
16.96,97.00,0
16.96,97.00,0
16.96,97.00,0
